GAZP_OPEN,GAZP_VOL,SBER_OPEN,SBER_VOL,DATE,TIME,MON,TUE,WED,THU,FRI
138.85,85470,137.07,30300,42578,152500,0,0,1,0,0
138.8,20460,137.08,34340,42578,152600,0,0,1,0,0
138.88,83900,137.1,117630,42578,152700,0,0,1,0,0
138.88,38250,137.16,45550,42578,152800,0,0,1,0,0
138.92,7940,137.19,77310,42578,152900,0,0,1,0,0
138.92,14310,137.23,69110,42578,153000,0,0,1,0,0
138.88,67710,137.22,78810,42578,153100,0,0,1,0,0
138.83,42710,137.2,33190,42578,153200,0,0,1,0,0
138.88,8000,137.2,11560,42578,153300,0,0,1,0,0
138.85,4300,137.16,18020,42578,153400,0,0,1,0,0
138.86,9210,137.16,4430,42578,153500,0,0,1,0,0
138.84,14110,137.15,13930,42578,153600,0,0,1,0,0
138.83,4190,137.22,351180,42578,153700,0,0,1,0,0
138.88,34540,137.23,468900,42578,153800,0,0,1,0,0
138.92,6740,137.27,22340,42578,153900,0,0,1,0,0
138.93,107700,137.28,49460,42578,154000,0,0,1,0,0
139.13,107660,137.32,135070,42578,154100,0,0,1,0,0
139.25,15670,137.33,89230,42578,154200,0,0,1,0,0
139.2,39340,137.32,17960,42578,154300,0,0,1,0,0
139.16,80840,137.24,23510,42578,154400,0,0,1,0,0
139.11,50080,137.26,17010,42578,154500,0,0,1,0,0
139.06,15600,137.21,17550,42578,154600,0,0,1,0,0
139.03,12760,137.22,96180,42578,154700,0,0,1,0,0
139.03,38110,137.19,53260,42578,154800,0,0,1,0,0
138.95,31630,137.21,42510,42578,154900,0,0,1,0,0
138.92,40480,137.15,35280,42578,155000,0,0,1,0,0
138.91,31750,137.14,19430,42578,155100,0,0,1,0,0
138.9,53170,137.14,85070,42578,155200,0,0,1,0,0
138.98,31200,137.07,244110,42578,155300,0,0,1,0,0
139,14650,137.11,12530,42578,155400,0,0,1,0,0
139.04,30880,137.12,4850,42578,155500,0,0,1,0,0
139,30170,137.09,254870,42578,155600,0,0,1,0,0
138.99,32410,137.09,83830,42578,155700,0,0,1,0,0
138.93,14920,137.11,88670,42578,155800,0,0,1,0,0
138.95,16920,137.21,238370,42578,155900,0,0,1,0,0
138.99,11880,137.31,229640,42578,160000,0,0,1,0,0
138.99,59400,137.35,5200,42578,160100,0,0,1,0,0
138.91,75790,137.35,21420,42578,160200,0,0,1,0,0
138.86,22490,137.39,53610,42578,160300,0,0,1,0,0
138.85,27650,137.4,469020,42578,160400,0,0,1,0,0
138.86,13910,137.43,178320,42578,160500,0,0,1,0,0
138.9,22000,137.45,41150,42578,160600,0,0,1,0,0
138.85,15090,137.45,28530,42578,160700,0,0,1,0,0
138.85,27950,137.3,21780,42578,160800,0,0,1,0,0
138.81,99730,137.35,11100,42578,160900,0,0,1,0,0
138.9,23150,137.28,31630,42578,161000,0,0,1,0,0
138.92,22390,137.28,26050,42578,161100,0,0,1,0,0
138.84,62040,137.31,21220,42578,161200,0,0,1,0,0
138.87,10640,137.3,9810,42578,161300,0,0,1,0,0
139.01,1730,137.34,1910,42578,161400,0,0,1,0,0
139.01,53910,137.28,213600,42578,161500,0,0,1,0,0
139.05,8550,137.23,19480,42578,161600,0,0,1,0,0
139.05,3980,137.21,5090,42578,161700,0,0,1,0,0
139.07,160,137.2,13790,42578,161800,0,0,1,0,0
139.07,430,137.18,3470,42578,161900,0,0,1,0,0
139.05,2630,137.16,8850,42578,162000,0,0,1,0,0
139.05,16760,137.17,9730,42578,162100,0,0,1,0,0
138.91,7470,137.15,91400,42578,162200,0,0,1,0,0
138.96,340,137.15,31750,42578,162300,0,0,1,0,0
138.96,5880,137.14,3670,42578,162400,0,0,1,0,0
138.93,9020,137.14,10700,42578,162500,0,0,1,0,0
138.94,17140,137.12,11890,42578,162600,0,0,1,0,0
138.97,10510,137.08,5220,42578,162700,0,0,1,0,0
138.96,17260,137.1,31090,42578,162800,0,0,1,0,0
139,12480,137.05,20540,42578,162900,0,0,1,0,0
139,14910,137.06,37890,42578,163000,0,0,1,0,0
139,620,137.18,14450,42578,163100,0,0,1,0,0
139.04,69240,137.21,137250,42578,163200,0,0,1,0,0
139.27,174520,137.36,101590,42578,163300,0,0,1,0,0
139.33,66690,137.33,47610,42578,163400,0,0,1,0,0
139.39,316480,137.34,426870,42578,163500,0,0,1,0,0
139.42,66320,137.48,636750,42578,163600,0,0,1,0,0
139.27,29530,137.45,66740,42578,163700,0,0,1,0,0
139.39,53380,137.48,398340,42578,163800,0,0,1,0,0
139.29,15950,137.48,42060,42578,163900,0,0,1,0,0
139.26,34930,137.44,65960,42578,164000,0,0,1,0,0
139.19,55870,137.42,360570,42578,164100,0,0,1,0,0
139.16,70010,137.33,65300,42578,164200,0,0,1,0,0
139.17,87870,137.34,97340,42578,164300,0,0,1,0,0
139.24,21980,137.39,13740,42578,164400,0,0,1,0,0
139.22,10840,137.33,108900,42578,164500,0,0,1,0,0
139.18,28240,137.23,49620,42578,164600,0,0,1,0,0
139.18,52090,137.31,426050,42578,164700,0,0,1,0,0
139.12,10610,137.47,1430,42578,164800,0,0,1,0,0
139.13,44580,137.45,65090,42578,164900,0,0,1,0,0
139.03,49210,137.43,64020,42578,165000,0,0,1,0,0
139.01,8230,137.29,18100,42578,165100,0,0,1,0,0
139.02,62010,137.32,58980,42578,165200,0,0,1,0,0
138.93,28430,137.3,95010,42578,165300,0,0,1,0,0
139.01,11840,137.3,102120,42578,165400,0,0,1,0,0
139,72520,137.19,33190,42578,165500,0,0,1,0,0
139,25450,137.27,2400,42578,165600,0,0,1,0,0
139.03,1180,137.25,9970,42578,165700,0,0,1,0,0
139.01,119830,137.32,14530,42578,165800,0,0,1,0,0
138.94,111540,137.3,12940,42578,165900,0,0,1,0,0
138.95,101880,137.31,35760,42578,170000,0,0,1,0,0
138.94,100630,137.29,386250,42578,170100,0,0,1,0,0
138.99,73540,137.55,45930,42578,170200,0,0,1,0,0
138.91,71620,137.56,55130,42578,170300,0,0,1,0,0
138.97,29870,137.5,23880,42578,170400,0,0,1,0,0
138.93,11540,137.51,22560,42578,170500,0,0,1,0,0
138.97,99880,137.5,386220,42578,170600,0,0,1,0,0
139.01,27160,137.5,51430,42578,170700,0,0,1,0,0
138.98,133780,137.47,100610,42578,170800,0,0,1,0,0
139.03,62300,137.45,39150,42578,170900,0,0,1,0,0
138.92,3110,137.41,63550,42578,171000,0,0,1,0,0
138.92,148280,137.38,51110,42578,171100,0,0,1,0,0
138.8,113700,137.33,160480,42578,171200,0,0,1,0,0
138.86,37400,137.25,56510,42578,171300,0,0,1,0,0
138.8,44900,137.28,56820,42578,171400,0,0,1,0,0
138.84,194790,137.23,156740,42578,171500,0,0,1,0,0
138.76,226180,137.27,45960,42578,171600,0,0,1,0,0
138.7,308420,137.25,121170,42578,171700,0,0,1,0,0
138.65,145070,137.18,25320,42578,171800,0,0,1,0,0
138.57,161720,137.16,78980,42578,171900,0,0,1,0,0
138.65,57980,137.17,28490,42578,172000,0,0,1,0,0
138.64,51060,137.1,49890,42578,172100,0,0,1,0,0
138.66,15750,137.12,11710,42578,172200,0,0,1,0,0
138.62,39600,137.12,2320,42578,172300,0,0,1,0,0
138.6,327080,137.13,5760,42578,172400,0,0,1,0,0
138.61,61480,137.09,19190,42578,172500,0,0,1,0,0
138.63,30670,137.16,5790,42578,172600,0,0,1,0,0
138.64,32580,137.19,9770,42578,172700,0,0,1,0,0
138.64,9350,137.17,18390,42578,172800,0,0,1,0,0
138.69,14730,137.17,32580,42578,172900,0,0,1,0,0
138.74,19860,137.17,12520,42578,173000,0,0,1,0,0
138.65,209350,137.1,648590,42578,173100,0,0,1,0,0
138.5,70780,136.77,250880,42578,173200,0,0,1,0,0
138.54,55930,136.78,217390,42578,173300,0,0,1,0,0
138.56,27950,136.78,90990,42578,173400,0,0,1,0,0
138.5,121110,136.82,264060,42578,173500,0,0,1,0,0
138.51,91180,136.66,390850,42578,173600,0,0,1,0,0
138.43,112130,136.67,145230,42578,173700,0,0,1,0,0
138.38,151560,136.57,1640670,42578,173800,0,0,1,0,0
138.49,54780,136.19,190610,42578,173900,0,0,1,0,0
138.41,77000,136.22,472710,42578,174000,0,0,1,0,0
138.51,46710,136.45,308170,42578,174100,0,0,1,0,0
138.48,138680,136.3,153780,42578,174200,0,0,1,0,0
138.5,85980,136.26,193360,42578,174300,0,0,1,0,0
138.54,51700,136.2,136710,42578,174400,0,0,1,0,0
138.62,17310,136.26,152040,42578,174500,0,0,1,0,0
138.7,57600,136.2,551960,42578,174600,0,0,1,0,0
138.65,3430,136.11,138330,42578,174700,0,0,1,0,0
138.6,7890,136.34,264980,42578,174800,0,0,1,0,0
138.61,68280,136.47,378060,42578,174900,0,0,1,0,0
138.58,25350,136.53,51220,42578,175000,0,0,1,0,0
138.59,19960,136.37,187040,42578,175100,0,0,1,0,0
138.55,3750,136.3,27120,42578,175200,0,0,1,0,0
138.6,26960,136.36,66960,42578,175300,0,0,1,0,0
138.61,7960,136.45,23940,42578,175400,0,0,1,0,0
138.67,35790,136.5,39190,42578,175500,0,0,1,0,0
138.61,66040,136.44,84590,42578,175600,0,0,1,0,0
138.57,109630,136.44,10860,42578,175700,0,0,1,0,0
138.58,7990,136.47,31620,42578,175800,0,0,1,0,0
138.6,25690,136.48,33690,42578,175900,0,0,1,0,0
138.6,31530,136.46,166120,42578,180000,0,0,1,0,0
138.57,22250,136.37,460500,42578,180100,0,0,1,0,0
138.66,19830,136.33,3580,42578,180200,0,0,1,0,0
138.65,45480,136.32,80140,42578,180300,0,0,1,0,0
138.61,85250,136.3,63280,42578,180400,0,0,1,0,0
138.57,17570,136.29,49170,42578,180500,0,0,1,0,0
138.57,6000,136.27,104070,42578,180600,0,0,1,0,0
138.54,3750,136.2,109320,42578,180700,0,0,1,0,0
138.59,6990,136.24,30130,42578,180800,0,0,1,0,0
138.65,53560,136.28,5170,42578,180900,0,0,1,0,0
138.66,12800,136.38,48400,42578,181000,0,0,1,0,0
138.71,11440,136.36,5020,42578,181100,0,0,1,0,0
138.72,18220,136.29,30430,42578,181200,0,0,1,0,0
138.74,4990,136.34,5570,42578,181300,0,0,1,0,0
138.74,11220,136.29,16580,42578,181400,0,0,1,0,0
138.77,10550,136.28,28440,42578,181500,0,0,1,0,0
138.72,37330,136.27,65870,42578,181600,0,0,1,0,0
138.77,6210,136.25,25620,42578,181700,0,0,1,0,0
138.77,105110,136.26,17580,42578,181800,0,0,1,0,0
138.79,10950,136.3,7110,42578,181900,0,0,1,0,0
138.79,6640,136.26,2620,42578,182000,0,0,1,0,0
138.8,133260,136.26,63660,42578,182100,0,0,1,0,0
138.8,41260,136.26,25840,42578,182200,0,0,1,0,0
138.79,47670,136.25,54730,42578,182300,0,0,1,0,0
138.8,47900,136.22,9570,42578,182400,0,0,1,0,0
138.8,35190,136.25,45030,42578,182500,0,0,1,0,0
138.84,33260,136.17,67560,42578,182600,0,0,1,0,0
138.87,56450,136.33,25130,42578,182700,0,0,1,0,0
138.89,314700,136.38,29620,42578,182800,0,0,1,0,0
138.93,35510,136.35,19210,42578,182900,0,0,1,0,0
139,26720,136.36,58180,42578,183000,0,0,1,0,0
139.02,166520,136.43,60380,42578,183100,0,0,1,0,0
138.99,33410,136.4,120260,42578,183200,0,0,1,0,0
139.05,48880,136.47,82960,42578,183300,0,0,1,0,0
139.05,434910,136.44,167740,42578,183400,0,0,1,0,0
139.27,66140,136.47,247330,42578,183500,0,0,1,0,0
139.32,217000,136.49,59440,42578,183600,0,0,1,0,0
139.41,375600,136.5,206070,42578,183700,0,0,1,0,0
139.41,168650,136.55,132950,42578,183800,0,0,1,0,0
139.39,57070,136.56,68100,42578,183900,0,0,1,0,0
139.4,341550,136.55,342090,42578,184000,0,0,1,0,0
139.5,1490390,136.9,712620,42578,184600,0,0,1,0,0
139.5,1600,136.9,2520,42578,184700,0,0,1,0,0
139.5,12260,136.9,8590,42578,184800,0,0,1,0,0
139.5,10,136.9,21070,42578,184900,0,0,1,0,0
139.5,100,136.9,2000,42578,185000,0,0,1,0,0
139.15,579960,137.05,454340,42579,100100,0,0,0,1,0
138.7,154210,136.87,316300,42579,100200,0,0,0,1,0
138.81,115050,136.88,167080,42579,100300,0,0,0,1,0
138.88,32250,136.85,102230,42579,100400,0,0,0,1,0
138.98,78170,136.91,33280,42579,100500,0,0,0,1,0
139.12,45720,136.85,272530,42579,100600,0,0,0,1,0
139.26,87030,136.77,195040,42579,100700,0,0,0,1,0
139.22,67430,136.85,213610,42579,100800,0,0,0,1,0
139.15,111100,136.8,295220,42579,100900,0,0,0,1,0
139.15,23180,136.8,1342520,42579,101000,0,0,0,1,0
139.12,116160,136.6,258120,42579,101100,0,0,0,1,0
139.01,33060,136.35,199690,42579,101200,0,0,0,1,0
139.1,21820,136.49,58990,42579,101300,0,0,0,1,0
139.09,10020,136.57,74510,42579,101400,0,0,0,1,0
139.17,16920,136.55,195630,42579,101500,0,0,0,1,0
139.18,15890,136.75,251810,42579,101600,0,0,0,1,0
139.16,22360,136.62,50210,42579,101700,0,0,0,1,0
139.2,61620,136.55,141620,42579,101800,0,0,0,1,0
139.16,26930,136.4,37990,42579,101900,0,0,0,1,0
139.11,4160,136.48,54660,42579,102000,0,0,0,1,0
139.13,43370,136.49,47600,42579,102100,0,0,0,1,0
139.04,97840,136.5,67590,42579,102200,0,0,0,1,0
139.04,24540,136.58,69320,42579,102300,0,0,0,1,0
139.1,9450,136.54,62510,42579,102400,0,0,0,1,0
139.06,24440,136.51,20090,42579,102500,0,0,0,1,0
139.11,32360,136.5,128940,42579,102600,0,0,0,1,0
139.2,102180,136.62,187710,42579,102700,0,0,0,1,0
